key,docs,rating,timestamp,sentiment
13,"all the atmosphere of a wake
expensive and impersonal
drinks came after food
we werent offered dessert menus
staff didnt make any effort to make us feel welcome
staff avoided eye contact when we were trying to pay??
would not recommend if youre looking for a warm, friendly place",1.0,2022-02-17 16:33:00,"[[0.9058536887168884, 0.09247072041034698, 0.0016756311524659395]]"
14,fantastic roast beef on a wet sunday. great efficient service and very welcoming of dogs in the bar area. will definitely be returning!,4.0,2022-01-03 14:44:00,"[[0.013420443050563335, 0.23749524354934692, 0.7490842938423157]]"
15,"we had out of town guests with us. as usual, a great experience!",5.0,2022-03-17 19:11:00,"[[0.0021120395977050066, 0.6338449120521545, 0.3640429675579071]]"
16,the breakfast was really lovely lots of variety and plentiful sockets in the room was a big problem for us only 2 sockets and one of them was behind the tv and we had a tripple room so this was a big problem with charging phones and using hairdryers etc,4.0,2022-02-01 01:00:00,"[[0.22167718410491943, 0.7648109197616577, 0.013511930592358112]]"
17,liked it so much we stayed a second night so relaxing. peaceful and calm stayed in june 2021,4.0,2021-06-04 01:00:00,"[[0.0037492122501134872, 0.4459260404109955, 0.5503246784210205]]"
18,"speed up the ordering process
offer decaf coffee as well",5.0,2022-02-02 23:18:00,"[[0.0005077021778561175, 0.5252633690834045, 0.47422900795936584]]"
19,"aircon did not work, bathroom very cold .. great room and friendly staff stayed in december 2022",5.0,2022-12-12 00:00:00,"[[0.6726482510566711, 0.3238278031349182, 0.0035239069256931543]]"
20,"location is amazing, you're a 5 minute walk from the national park, great for outdoor activities. room was very big, for some reason i got a room with a double bed and a single bed too. staff that had been there a while were great, very lovely, especially sharon in the bar, saoirse and ozzy in the restaurant. as with all hotels nowadays, they seemed to be understaffed a bit, my room wasn't ready after 2pm when i was supposed to check in, it took another hour and a half. the restaurant had to be pre-booked and i didn't get that communication unfortunately so it was booked 2 out of the 3 night i stayed.",4.0,2021-06-18 02:00:00,"[[0.005867564119398594, 0.7571018934249878, 0.23703056573867798]]"
21,great location with amenities closer by. breakfast could have been better.,4.5,2021-11-15 01:00:00,"[[0.012745249085128307, 0.7647743821144104, 0.22248047590255737]]"
22,the evening was very good up to the point where someone or something dropped water on our table from floors above the restaurant. when we brought it to the attention of the staff all they did was say they would inform the hotel. there did not seem to be any real concern for our group having the water dropped on them. it did put a big damper on an otherwise good meal.,3.0,2022-02-07 06:13:00,"[[0.15594205260276794, 0.795185387134552, 0.04887259006500244]]"
23,"very much enjoyed the menu, a guest of mine unexpectedly did not enjoy the steak meal!!, however your staff were very obliging and did all to put the matter right, couldn't ask for better. many thanks jwd.",5.0,2021-11-21 13:06:00,"[[0.026588549837470055, 0.5193050503730774, 0.4541063904762268]]"
24,the staff were excellent the hotel rooms are a little old fashioned.i would have liked more fresh fruit at breakfast.,3.5,2022-07-17 02:00:00,"[[0.4477808177471161, 0.5339654088020325, 0.018253784626722336]]"
25,"new year's eve dinner. food was amazing! beautiful decor, service was top notch!! can't wait to go back again in the summer!",5.0,2022-01-01 22:05:00,"[[0.014786901883780956, 0.3463888168334961, 0.6388243436813354]]"
26,"i've been here quite a few times now, maybe 5-7 times over the past couple of years, i'm local. i know going into here the service is not good, but i usually go for the ambiance and nice view. last night was pretty bad though. we were excited to go, celebrating an occasion. 20 minutes to be greeted at our table, that's being generous, not exaggerating. server had his mask below his mouth the whole time leaning into to talk to us, drinks were brought after our food dropped. there was a super loud, messy party next to us but that was a first, i usually like the ambiance. they forgot our fries but they comped that. still frustrating. receipt was dropped off as we're finishing our food and we were told thank u for coming before ever being asked if we'd like a 2nd drink, dessert.. it was disappointing. if i ever go back it's going to be on a dead day because every where else decent was booked..",2.0,2021-12-05 21:47:00,"[[0.9213639497756958, 0.0734843909740448, 0.005151617340743542]]"
27,stayed in dec so it took some time for storage heat to kick in. place was a little cold however host did provide heater. spacious and clean stayed in december 2020,4.0,2021-01-22 06:00:00,"[[0.013261252082884312, 0.9801837801933289, 0.006554996129125357]]"
28,great location and very helpful check in staff.special thank you to linda at reception for correcting my mistake in dates.excellent breakfast and great bar food.would definitely go back.,5.0,2021-12-21 01:00:00,"[[0.004792127292603254, 0.4262523055076599, 0.5689555406570435]]"
29,"friendly staff, quirky pub, lovely food, nice location.",4.0,2021-09-20 11:40:00,"[[0.004185223951935768, 0.8821849226951599, 0.11362987756729126]]"
30,an amazing meal such attention to detail and wonderful combinations of flavours,5.0,2021-09-25 13:22:00,"[[0.0022372277453541756, 0.22946086525917053, 0.7683019638061523]]"
31,"clean and comfortable no room service, we arrived late, couldn't eat or drink",3.5,2021-10-07 02:00:00,"[[0.7485583424568176, 0.25000590085983276, 0.001435749582014978]]"
32,great service excellent food! highly recommended,5.0,2022-01-04 05:29:00,"[[0.0076990751549601555, 0.40799346566200256, 0.5843074917793274]]"
33,"the experience was okay. the pre-dinner drinks at the bar were superb and the staff friendly and helpful. we really, really wanted to love the food
the appetizers we had were very nice - pimento cheese arancini with a green tomato chutney. i had the quail. it was served with greens and potatoes.
while the flavor and preparation of the quail was wonderful, my potatoes and greens were not hot. and not just luke warm, but room temp. it just really took away from the point of having a warm comfort food experience to be served mains that just were not warm. and while the flavor was fine, i can only imagine how much better this review and my experience would've been if my food had been hot when served.
the gravy was really flavorful, there just wasn't enough of it and it was placed on the fried quail which made the breading lose much of it's fried crunch goodness.
if i had received warm potatoes with a hot helping of the amazing gravy on them, this would be a much different review.
we had a flourless chocolate cake dessert, that was also served super cold as if it had just come from the walk in freezer (we couldn't get our spoons through it) and while it was tasty, it was only okay. we ordered coffee and it was also served at room temperature. not ideal on a cold winter night. the server apologized and took off the coffee from our bill, but that was just the final ehh in a meal i really wanted to love but walked away from feeling, well, e .
i will give this new restaurant another chance to win me over. as i said, i really, really wanted to love it. it is right in my neighborhood and has a cozy setting in a hip new boutique hotel lobby setting.",4.0,2022-01-11 17:55:00,"[[0.02559620328247547, 0.351228803396225, 0.6231749653816223]]"
34,this place was horrible my whole family was sick after eating here. we will never eat here again.,1.0,2021-12-19 02:57:00,"[[0.9316933155059814, 0.06637940555810928, 0.0019271735800430179]]"
35,"i loved the view. the food was good. the service, so-so. we asked to pay 3 way, we were told to use 2 cards only. then we asked if the check could be split 13 and 23. we were told no and waitress seamed annoyed. we are customers, some sympathy and more caring attitude would have been fine. i suggest the restaurant learns to split bills. we do everywhere else.",4.0,2021-05-14 21:15:00,"[[0.554101288318634, 0.4350198805332184, 0.01087882649153471]]"
36,"if you are looking for a fine, smart casual dining experience, 8 eleven is the perfect spot! great food, service and atmosphere! we loved it!",5.0,2021-12-26 21:54:00,"[[0.00432639941573143, 0.18834294378757477, 0.8073306679725647]]"
37,"good menu with better than usual vegetarian options. comfortable seating, open fires. helpful and attentive staff. the food was a cut above other competing pub dining venues.",5.0,2021-12-13 07:30:00,"[[0.015848102048039436, 0.18989458680152893, 0.7942572832107544]]"
38,staff friendly and helpful nothing no problem,5.0,2021-09-06 02:00:00,"[[0.011113577522337437, 0.8187990784645081, 0.17008735239505768]]"
39,not bad especially for an amusement park. i remember breakfast being better before covid. play area for kids is great.,4.0,2021-12-30 04:40:00,"[[0.011940906755626202, 0.36819279193878174, 0.6198662519454956]]"
40,"we arrived at 930pm, the kitchen was closed, we asked could we get a sandwich and the staff who were nice directed us to crisp vending machine and nut machine. i think a limited sandwich menu would be a nice moderate offering. the breakfast the following morning was excellent",3.5,2022-10-25 02:00:00,"[[0.007264676038175821, 0.9193655848503113, 0.07336974143981934]]"
41,breakfast buffet was great. plenty of items to choose from. something for everyone:,5.0,2021-11-29 08:41:00,"[[0.003955735359340906, 0.5086910128593445, 0.4873533248901367]]"
42,"we had a dinner date there and enjoyed the charcuterie board, burger, and swordfish. then we topped it off with the passion fruit cheesecake for dessert. everything was wonderful from start to finish!",5.0,2022-02-06 04:46:00,"[[0.01448013074696064, 0.7834659218788147, 0.202053964138031]]"
43,"went here right before 12pm check out for the hotel. they serve brunch on the weekends (i think) and lunch starting at 11pm for weekdays. i went on a monday morning with a friend and ordered the lobster roll and burger. the lobster roll was the chef's special for the day and i only ordered it because our server hyped it up. honestly it was at best 710 but because our server was awesome i'll give it at 8. it was good flavor, but not the traditional buttery taste. it tasted reminiscent of a bahn mi and even had shredded carrots on the top. the burger on the other hand was phenomenal. 910 i didn't give it a full 10 cause i only had a few bites so i can't say with confidence that it's a home run. but it was dank to say the absolute least. server + staff was awesome and i fck with the music they were playing. great rooftop spot for a small, up and coming hotel in dtla!",4.0,2021-06-29 22:00:00,"[[0.0037636752240359783, 0.9801514744758606, 0.016084901988506317]]"
44,"there was an imprint of an iron on the carpet upon arrival. otherwise, it was perfect. excellent staff, suitable location and decent value for money. stayed in december 2020",4.0,2021-01-11 00:00:00,"[[0.009526096284389496, 0.5675750374794006, 0.42289891839027405]]"
45,just a standard hotel the toilets in the room was hard to flush and sometimes would not flush,4.0,2022-01-15 01:00:00,"[[0.5455020070075989, 0.45418643951416016, 0.00031151724397204816]]"
46,great place for a sandwich and a drink with an experienced staff.,5.0,2021-10-16 14:48:00,"[[0.013868981972336769, 0.7307140827178955, 0.2554169297218323]]"
47,nice breakfast bedroom small could only window small bit room cold gave very tea and milk,3.5,2021-11-01 01:00:00,"[[0.0015169255202636123, 0.9862161874771118, 0.01226680725812912]]"
48,as always the service and food was great but since i'm currently in a wheelchair we were put in the back patio which being the holidays the noise was just crazy. it wouldn't take much for them to put a noise barrier in the ceiling. it was so loud we couldn't even hear each other talking. i do forgive them though under the circumstances it was impossible to control.,4.0,2021-12-19 14:49:00,"[[0.5825352668762207, 0.40567344427108765, 0.011791220866143703]]"
49,"nice hotel and location couldnt get a recepit the next morning because of where i made the booking apparently, utterly ridiculous, left extremley frustrated, even though i have stayed there lots of times, made the booking through the same channels each time, never had an issue before",1.5,2022-12-09 01:00:00,"[[0.8497939705848694, 0.1477406769990921, 0.0024652776774019003]]"
50,"breakfast was delicious, one of the best we had in ireland. hotel had beautiful decor, especially for the holidays. room was comfy and clean. love the proximity to blarney castle and being able to walk. lovely shops and restaurants. nothing",4.5,2021-12-14 01:00:00,"[[0.016132643446326256, 0.2978825569152832, 0.6859848499298096]]"
51,"service was terrible our waitress didn't give us her name we had to ask
too noisy they sat us by the kitchen after i requested not to
they forget we were celebrating our anniversary the food was cold it was a disaster wouldn't recommend it or go back",1.0,2021-12-28 07:43:00,"[[0.944159209728241, 0.0522448904812336, 0.0035959056112915277]]"
52,it was so clean the food was super and the staff were all lovely. i have stayed in several hotels recently some a lot more expensive but carna bay is way up there. looking forward to going back and the 50 euro voucher is a lovely jesture in these difficult times.,4.5,2021-08-20 02:00:00,"[[0.05059337615966797, 0.41225528717041016, 0.5371513366699219]]"
53,perfect location clean nice room and comfortable bed staff all friendly and helpful,5.0,2022-02-10 01:00:00,"[[0.008761496283113956, 0.8846561908721924, 0.10658233612775803]]"
54,the staff were very professional and friendly. the hotel is in a very location for the various excellent tourist attractions. the bedroom was fine but needs repairs. the phone in the room was broken and we had to disconnect it as it kept making noises. the taps in bathroom were also faulty. the biggest problem was that a wedding took place on the second night and the guests kept us awake most of the night by constantly slamming bedroom doors and screaming. not good when you have children trying to sleep never mind adults. couldn't ring down to reception as phone was broken.,3.0,2022-01-07 01:00:00,"[[0.21966201066970825, 0.7599605321884155, 0.020377468317747116]]"
55,"i do love pancakes great breakfast, not too much choice so easy deciding stayed in june 2021",5.0,2021-06-14 01:00:00,"[[0.0026422704104334116, 0.8799718618392944, 0.1173858642578125]]"
56,during the 2 days that i stayed i was wakes up by several kids knocking at my door. the location is not good and there are no restaurants around.,1.0,2021-11-22 01:00:00,"[[0.942096471786499, 0.05697054788470268, 0.0009329165332019329]]"
57,very clean. the bed was uncomfortable. there was a lot of noise coming from rooms on floor above sufficient to wake from sleep. the 20 breakfast in room was difficult to access and overpriced.,2.5,2021-09-10 02:00:00,"[[0.5532323122024536, 0.44465014338493347, 0.002117634518072009]]"
58,great food and great servers we had the dragon burger and chicken pesto pasta and they were amazing. the customer service is also really good the staff is friendly and helpful,5.0,2022-01-08 02:14:00,"[[0.0116695212200284, 0.31749677658081055, 0.6708337068557739]]"
59,"this hotel is such a mixed bag of opinions to be honest. gym is amazing pool is great hotel is clean. parking is good. it's a short 10 mins from the town but it lacks in variety of food choices especially if you have special dietary needs. they cater poorly for coeliac vegetarian or vegan guests. no effort was made to accommodate. service was very very slow. some of the staff are really good and others just don't have any initiative what so ever. tables were left uncleared for over a hour despite the amount of staff floating around. ordered drinks don't arrive. i understand teething issues for not being open for so long but at the same time guests are looking forward to a hotel experience and paying quite high prices for it, but the service and attention to detail just wasn't there. another issue being the over service of alcohol to already very drunk guests, room parties throughout the night and the walls are paper thin. it just wasn't what we had hoped for unfortunately. management was very customer focused when we voiced our complaints and also made every effort to make amense. the menu really needs to be looked at. restaurant and bar staff really need a crash course in customer service. ordered a jug of water for the table for breakfast and was handed a small glass that was half full. wasn't even a mouthfull of water.. i couldn't believe it. stayed in june 2021",2.0,2021-06-06 01:00:00,"[[0.7275041341781616, 0.26939836144447327, 0.00309746153652668]]"
60,overall we enjoyed our visit. the pub was a bit chilly and draughty round the legs. one dish was not very hot and had to be reheated which staff did happily. coffee lukewarm too. ale was excellent though and overall food pretty good but got impression place just getting back on its feet after difficult times with covid.,2.0,2022-02-13 12:55:00,"[[0.6894382834434509, 0.3037634789943695, 0.006798235699534416]]"
61,spacious easy to get around no negative comments,4.5,2021-10-03 02:00:00,"[[0.005290577188134193, 0.9625356793403625, 0.03217374160885811]]"
62,"we held a baby shower for a friend of mine. brunch outside on the patio was superb. food was delicious, weather was perfect, and the ambiance was unbeatable. this place is a gem.",5.0,2022-03-06 11:18:00,"[[0.003928625490516424, 0.38216036558151245, 0.6139110326766968]]"
63,very happy with the service and the food was excellent.,4.0,2021-12-18 17:06:00,"[[0.018860099837183952, 0.2467278689146042, 0.7344120144844055]]"
64,we sat in the garden with friends and had a lovely lunch and plenty of good value wine. the children had a great time playing in the play zone. a lovely pub with a relaxed vibe. would highly recommend for lazy sunny days.,5.0,2021-05-31 23:01:00,"[[0.016600351780653, 0.5823159217834473, 0.40108370780944824]]"
65,"service wasn't the best. our waiter took forever to come to our table and when he did seemed rushed. appetizers were better then main dish. music was nice but kinda loud. drinks watered down. ambiance was the best part, downtown l.a skyline amazing",3.0,2021-10-02 17:41:00,"[[0.8304250836372375, 0.16741834580898285, 0.0021565700881183147]]"
66,"ordered 2 steak and egg breakfast ( i am on a keto diet) after staying at hotel with wife. plating and service was good. steak was unseasoned, at all. would not order again. view was great.",3.0,2021-12-07 07:38:00,"[[0.008264974690973759, 0.7493340969085693, 0.2424008995294571]]"
67,"the location is like something from a movie, inside and out. it feels like more than a hotel. the bay view from the window was so beautiful to look at every morning. even the car park was beautiful! the whole grounds are immaculate. the spa and pool were so clean, the staff are friendly and patient. i even loved having a bath and shower in the room instead of just a bath with shower head. beautiful rooms, nice facilities, so bright and open. lovely atmosphere and ambience all around but especially in the restaurant saturday night as there was a man singing. that was just like a cherry on top as he sang one of our songs. food was delish and made to perfection, breakfast and dinner, which was great as my partner is a picky eater and he loved everything. we had such a relaxing time, it was just what we needed. i hope to return some time at all the only thing i could possibly change about our time in kinsale was when it came to dinner. when we checked in on friday the man behind the desk asked us would we like dinner on the following nights and we said yes. we confirmed a time between us and it seemed like he wrote that down. however on both nights when we went upstairs to the restaurant, there was no record of our booking. luckily there were a few free tables and there was space for us. to have it happen saturday and then again on the sunday night was a little frustrating but nothing to dampen the weekend. the food was out of this world! i also noticed a few of the staff, perhaps newer to the job, were not terribly familiar with the menu particularly when it came to drinks. no mistakes were made but at times they did not understand what we wanted to order and other staff stepped in to help. like i said, no mistakes were made but i was cautious of perhaps receiving the wrong order. i would also love maybe more variety when it comes to desserts as my partner could not have any of the options available but this was not a big deal",4.5,2022-02-15 01:00:00,"[[0.01023187581449747, 0.5349878668785095, 0.454780250787735]]"
68,fantastic food and service. the outdoor area is very cosy with blankets and outdoor heaters. great for kids.,5.0,2021-10-19 10:15:00,"[[0.004149897955358028, 0.4237193465232849, 0.5721307992935181]]"
69,decent dinner at rita's but not spectacular. the best thing was we were able to sit outside without freezing!,4.0,2022-01-24 17:00:00,"[[0.031277209520339966, 0.5595250725746155, 0.40919771790504456]]"
70,our hostess was a sweetheart waitress was awesome. totally on the ball. great valentines day breakfast.,5.0,2022-02-14 19:15:00,"[[0.009957768954336643, 0.6162242889404297, 0.37381792068481445]]"
71,"fabulous hotel but very short staffed. waited one hour for a drink in the bar. very poor selection for vegetarians in the menu. waiter would not ask the chef if he could make another veggie dish. breakfast was poor enough too, only eggs for a vegetarian. afternoon tea is a little bit overpriced for what you get. my friend received a red wine that was gone off. service and menus could have been better. staff shortages",1.5,2022-02-06 01:00:00,"[[0.6266922354698181, 0.3708987832069397, 0.0024089559447020292]]"
72,"this place was recommended by our hotel, could have been a better recommendation. service and food were fantastic!",5.0,2021-10-15 05:33:00,"[[0.005393342114984989, 0.29397910833358765, 0.7006275653839111]]"
73,"ours was an experience that we are keen to repeat at the earliest opportunity. we chose to eat outside which was a delight, but shall go for inside next time to explore.
excellent choice on the menu, beautifully presented dishes and scrumptious. service was bright, attentive and efficient. we just want to go again, simple as that!",4.0,2021-09-17 11:38:00,"[[0.006210642866790295, 0.2336900383234024, 0.7600992918014526]]"
74,"the best home cooked meal i have had in years!
there's a reason they have award winning pies, they are delicious!
couldn't fault anything, the atmosphere is amazing with blazing log fires, great, friendly service, quirky little corners and amazing history hidden around each corner.
will definitely be making a return visit if we are in the area again.",5.0,2021-11-08 18:47:00,"[[0.006658013444393873, 0.18260684609413147, 0.8107351064682007]]"
75,rooms were very comfortable and in a prime location,5.0,2022-02-19 01:00:00,"[[0.00717268418520689, 0.4018082916736603, 0.5910189747810364]]"
76,"unfortunately this place was one of the worst dining experiences i've had. the miramonte renovated and made a lot of really good design choices. in theory it has all the makings to succeed - beautiful olive trees with lanterns, live music, fire pits, modern decor - however at ever turn they got it wrong. i feel terrible giving a place a bad review because i always feel for the staff & i want businesses to succeed. there were only a few tables with patrons and everyone had the same gripes - ex i've been sitting here for 45 mins and haven't been able to get a drink or i've been here an hr with no food. all the patrons were commiserating about their unbelievably bad experiences whilst trying not to be jerks to the staff. two nice bus boys were apologizing profusely for the wait & all the issues. there was only one server i saw for the entire place & the hotel was sold put saturday for modernism week. you have to beg for every drink, fork & plate. not to mention the food isn't good. it's a strait up hot mess. this is a shame. it seems they are understaffed & the staff they do have isn't trained properly. hopefully this is a product of covid and the management of citrus & the miramonte can turn things around.",1.0,2022-02-20 08:24:00,"[[0.9303186535835266, 0.06022508814930916, 0.009456180967390537]]"
77,considering the remoteness of the location it was an outstanding lunch and the patio and view were very nice.,5.0,2021-09-12 16:56:00,"[[0.00599824171513319, 0.5169801712036133, 0.47702157497406006]]"
78,"a pleasant place, staff friendly and helpful, food excellent.",5.0,2021-09-13 09:38:00,"[[0.027208954095840454, 0.5004436373710632, 0.4723474085330963]]"
79,"all was absolutely brilliant. all staff so welcoming and excellent service. were sat right by the river, all courses superb. you ticked all the boxes and more. well done!",5.0,2021-04-25 13:17:00,"[[0.003405609866604209, 0.20962809026241302, 0.7869663238525391]]"
80,breakfast was good the bed wasn't as comfortable as we would have liked,4.0,2022-10-04 02:00:00,"[[0.5000712275505066, 0.4965358376502991, 0.0033929653000086546]]"
81,there was mold on the bread at breakfast and my wife found a cockraoch in the room wich i put into a glass and brought it to the reception only to to be told its not possible as there are no cockroaches in ireland despite having it the glass for them to see then a manager came and apologised for everything and said i'll get rid of the cockroach so he brang it away then after 10 minutes the head manager came and said it never happened despite the other guests standing looking at the entire thing i've never experienced such horrible conditions during a pandemic especially absolutely disgusting.,0.5,2022-01-16 01:00:00,"[[0.3964232802391052, 0.6007113456726074, 0.0028654299676418304]]"
82,"limited selection for breakfast but satisfactory for short stay. liked the foyer area, clean relaxing and spacious. the gardens were a bonus and a credit to the hotel. rooms were bit small and cramped. bathroom very disappointing.",3.5,2022-06-28 02:00:00,"[[0.20028135180473328, 0.7577527761459351, 0.041965898126363754]]"
83,we had a very enjoyable dining experience and would definitely go back again,5.0,2021-10-18 14:14:00,"[[0.0058476789854466915, 0.2374676614999771, 0.7566846013069153]]"
84,"was there for a wedding. from arrival to departure everything was perfect. lovely room, lovely staff, lovely food and lovely guinness of course",4.5,2022-07-18 02:00:00,"[[0.0036439390387386084, 0.784460186958313, 0.2118959277868271]]"
85,the food was excellent. my wife has never eaten that much food anywhere. service was first class.,5.0,2021-12-08 14:53:00,"[[0.013428491540253162, 0.4218900799751282, 0.5646814107894897]]"
86,no breakfast included breakfast provision is a must and needs to be included in the total package and not as an extra as when you add this to the cost then the package is a little expensive stayed in december 2020,2.5,2021-01-01 06:00:00,"[[0.11398933827877045, 0.8851838111877441, 0.0008269083336926997]]"
87,"all good great place. good management. i recommend everyone,but if you like drink, drugs, i don't recommend you this place. only 4 good people. the manager will not telorate your crap,and i don't blame him for it. in english, if you a lowlife, don't go there. stayed in january 2021",5.0,2021-01-26 00:00:00,"[[0.47731825709342957, 0.5134979486465454, 0.009183776564896107]]"
88,great family room. spacious and clean. bathroom spotless. comfortable bed heating was not great. bit cool in the room. food choice in the restaurant was poor. probably because we had half board. menu in the room for room service was a lot more impressive lack of light in the room. few mood lights across the room thats all.,4.5,2021-12-09 01:00:00,"[[0.5860829949378967, 0.4105602204799652, 0.0033568115904927254]]"
89,"great service, fast, and nice and hot when out food arrived.",5.0,2022-03-13 21:04:00,"[[0.0053253150545060635, 0.8085112571716309, 0.1861634999513626]]"
90,"the room was comfortable and clean. the property is comfortable and clean but the price was pretty much daylight robbery, and the location is not overly pleasant. i only booked it because most hotels were booked out and it's relatively close to the airport.. the restaurant manager was rude and rolled his eyes when i wanted to change tables to look out the window. from then on i just felt hostility from him. overall i thought the hotel was overpriced and very underwhelming. there was a trainee at reception i think her name was priscilla. she was excellent and couldn't do enough to help. apart from priscilla, the rest of the stay left a bad taste.",2.0,2022-08-23 02:00:00,"[[0.7915819883346558, 0.2050841897726059, 0.003333852393552661]]"
91,"this small restaurant, tucked into a quiet, airy hotel in the middle of waikiki, brought me back as a repeat customer today. despite a relatively simple menu, the gourmet level of artistry that these chefs deliver satisfies my every need for japanese cuisine. the deluxe sushi and sashimi plates, although pricy, are worth every dollar. the restaurant itself is small but quiet and provides a relatively intimate setting good for a small group of friends, or a date. make sure to ask if there is a special on sakes that night!",5.0,2021-11-08 04:31:00,"[[0.0010026050731539726, 0.31114012002944946, 0.6878572702407837]]"
92,crews act like angry trachers. foods are terrible. juice taste sugar added water. will not use legoland hotel again for my life.,1.0,2021-12-31 09:50:00,"[[0.7698719501495361, 0.22860726714134216, 0.001520685967989266]]"
93,"everything was great! excellent views, scallop piccata was delicious, squash stack was good too! very attentive server, we had a great time! glad it was on opentable as we would not have known of otherwise.",5.0,2021-03-28 04:10:00,"[[0.00392007315531373, 0.1563892811536789, 0.8396906852722168]]"
94,"avocado toast with stale bread that we unsuccessfully struggled to cut , unbearably sweet coffee drink",1.0,2021-09-13 19:47:00,"[[0.8930945992469788, 0.10325604677200317, 0.0036493304651230574]]"
95,"we had a wonderful time last night at the deauville inn. our waiter, raul (i hope i'm spelling that right!) was absolutely wonderful and accommodating to our rather large party and 1 year old. food was great and drinks came out fast. also the outside had heaters and covers to keep out the wind. we love coming here and it just keeps getting better each time!",4.0,2021-10-19 19:12:00,"[[0.012211525812745094, 0.565593421459198, 0.42219507694244385]]"
96,"my boyfriend and i stayed here for 2 nights for my friend's wedding. the staff were very friendly and helpful. check in and out was very quick and efficient. the waiters were very attentive too. we ate here many times during our stay and all breakfasts, lunches and dinners were perfect. the rooms were really lovely. we stayed in one of the suites on the second night and couldn't believe how luxurious it was for the money. i've often paid almost double the price for rooms in other hotels that weren't as nice. a huge room and bathroom with a separate sitting area, all spotlessly clean with lovely decor. llamas, sheep and goats on the hotel grounds were a very unique addition! i really enjoyed my stay overall, and would absolutely recommend it to anyone looking for a quick relaxing break away. i would have loved more vegetarian options on the menu. also, not the hotel's fault of course, but the overall surrounding areas have very little to see and do, so i would probably only stay here for a short break in future.",5.0,2022-02-15 01:00:00,"[[0.020588736981153488, 0.593233585357666, 0.3861776888370514]]"
97,"olives at the virgin hotel did not disappoint- it was the highlight of our stay! we began with the wood grilled squid & octopus and a bronx bomber flat bread- to die for! our sommelier, bernard was exceptional and selected tattinger upon arrival for us. we selected pasta sampling's -tortelli feat. butternut squash which was incredible and the ravioli - the parmesan cream and herb ricotta made want to lick the plate! the vibe is jazzy and sexy and the service impeccable. we finished with white chocolate martinis. we can't wait to go back.",5.0,2021-12-31 22:22:00,"[[0.006379145197570324, 0.2932809591293335, 0.7003398537635803]]"
98,it is in a good location. airy and spacious food is excellent. pool and steam room are well managed,5.0,2021-10-17 02:00:00,"[[0.00848033931106329, 0.17718647420406342, 0.8143331408500671]]"
