docs|rating|timestamp
not bad especially for an amusement park. i remember breakfast being better before covid. play area for kids is great.|4.0|2021-12-30 04:40:00
we arrived at 930pm, the kitchen was closed, we asked could we get a sandwich and the staff who were nice directed us to crisp vending machine and nut machine. i think a limited sandwich menu would be a nice moderate offering. the breakfast the following morning was excellent|3.5|2022-10-25 02:00:00
breakfast buffet was great. plenty of items to choose from. something for everyone:|5.0|2021-11-29 08:41:00
we had a dinner date there and enjoyed the charcuterie board, burger, and swordfish. then we topped it off with the passion fruit cheesecake for dessert. everything was wonderful from start to finish!|5.0|2022-02-06 04:46:00
went here right before 12pm check out for the hotel. they serve brunch on the weekends (i think) and lunch starting at 11pm for weekdays. i went on a monday morning with a friend and ordered the lobster roll and burger. the lobster roll was the chef's special for the day and i only ordered it because our server hyped it up. honestly it was at best 710 but because our server was awesome i'll give it at 8. it was good flavor, but not the traditional buttery taste. it tasted reminiscent of a bahn mi and even had shredded carrots on the top. the burger on the other hand was phenomenal. 910 i didn't give it a full 10 cause i only had a few bites so i can't say with confidence that it's a home run. but it was dank to say the absolute least. server + staff was awesome and i fck with the music they were playing. great rooftop spot for a small, up and coming hotel in dtla!|4.0|2021-06-29 22:00:00
there was an imprint of an iron on the carpet upon arrival. otherwise, it was perfect. excellent staff, suitable location and decent value for money. stayed in december 2020|4.0|2021-01-11 00:00:00
just a standard hotel the toilets in the room was hard to flush and sometimes would not flush|4.0|2022-01-15 01:00:00
great place for a sandwich and a drink with an experienced staff.|5.0|2021-10-16 14:48:00
nice breakfast bedroom small could only window small bit room cold gave very tea and milk|3.5|2021-11-01 01:00:00
as always the service and food was great but since i'm currently in a wheelchair we were put in the back patio which being the holidays the noise was just crazy. it wouldn't take much for them to put a noise barrier in the ceiling. it was so loud we couldn't even hear each other talking. i do forgive them though under the circumstances it was impossible to control.|4.0|2021-12-19 14:49:00
nice hotel and location couldnt get a recepit the next morning because of where i made the booking apparently, utterly ridiculous, left extremley frustrated, even though i have stayed there lots of times, made the booking through the same channels each time, never had an issue before|1.5|2022-12-09 01:00:00
breakfast was delicious, one of the best we had in ireland. hotel had beautiful decor, especially for the holidays. room was comfy and clean. love the proximity to blarney castle and being able to walk. lovely shops and restaurants. nothing|4.5|2021-12-14 01:00:00
"service was terrible our waitress didn't give us her name we had to ask
too noisy they sat us by the kitchen after i requested not to
they forget we were celebrating our anniversary the food was cold it was a disaster wouldn't recommend it or go back"|1.0|2021-12-28 07:43:00
it was so clean the food was super and the staff were all lovely. i have stayed in several hotels recently some a lot more expensive but carna bay is way up there. looking forward to going back and the 50 euro voucher is a lovely jesture in these difficult times.|4.5|2021-08-20 02:00:00
perfect location clean nice room and comfortable bed staff all friendly and helpful|5.0|2022-02-10 01:00:00
the staff were very professional and friendly. the hotel is in a very location for the various excellent tourist attractions. the bedroom was fine but needs repairs. the phone in the room was broken and we had to disconnect it as it kept making noises. the taps in bathroom were also faulty. the biggest problem was that a wedding took place on the second night and the guests kept us awake most of the night by constantly slamming bedroom doors and screaming. not good when you have children trying to sleep never mind adults. couldn't ring down to reception as phone was broken.|3.0|2022-01-07 01:00:00
i do love pancakes great breakfast, not too much choice so easy deciding stayed in june 2021|5.0|2021-06-14 01:00:00
during the 2 days that i stayed i was wakes up by several kids knocking at my door. the location is not good and there are no restaurants around.|1.0|2021-11-22 01:00:00
very clean. the bed was uncomfortable. there was a lot of noise coming from rooms on floor above sufficient to wake from sleep. the 20 breakfast in room was difficult to access and overpriced.|2.5|2021-09-10 02:00:00
great food and great servers we had the dragon burger and chicken pesto pasta and they were amazing. the customer service is also really good the staff is friendly and helpful|5.0|2022-01-08 02:14:00
this hotel is such a mixed bag of opinions to be honest. gym is amazing pool is great hotel is clean. parking is good. it's a short 10 mins from the town but it lacks in variety of food choices especially if you have special dietary needs. they cater poorly for coeliac vegetarian or vegan guests. no effort was made to accommodate. service was very very slow. some of the staff are really good and others just don't have any initiative what so ever. tables were left uncleared for over a hour despite the amount of staff floating around. ordered drinks don't arrive. i understand teething issues for not being open for so long but at the same time guests are looking forward to a hotel experience and paying quite high prices for it, but the service and attention to detail just wasn't there. another issue being the over service of alcohol to already very drunk guests, room parties throughout the night and the walls are paper thin. it just wasn't what we had hoped for unfortunately. management was very customer focused when we voiced our complaints and also made every effort to make amense. the menu really needs to be looked at. restaurant and bar staff really need a crash course in customer service. ordered a jug of water for the table for breakfast and was handed a small glass that was half full. wasn't even a mouthfull of water.. i couldn't believe it. stayed in june 2021|2.0|2021-06-06 01:00:00
overall we enjoyed our visit. the pub was a bit chilly and draughty round the legs. one dish was not very hot and had to be reheated which staff did happily. coffee lukewarm too. ale was excellent though and overall food pretty good but got impression place just getting back on its feet after difficult times with covid.|2.0|2022-02-13 12:55:00
spacious easy to get around no negative comments|4.5|2021-10-03 02:00:00
we held a baby shower for a friend of mine. brunch outside on the patio was superb. food was delicious, weather was perfect, and the ambiance was unbeatable. this place is a gem.|5.0|2022-03-06 11:18:00
very happy with the service and the food was excellent.|4.0|2021-12-18 17:06:00
we sat in the garden with friends and had a lovely lunch and plenty of good value wine. the children had a great time playing in the play zone. a lovely pub with a relaxed vibe. would highly recommend for lazy sunny days.|5.0|2021-05-31 23:01:00
service wasn't the best. our waiter took forever to come to our table and when he did seemed rushed. appetizers were better then main dish. music was nice but kinda loud. drinks watered down. ambiance was the best part, downtown l.a skyline amazing|3.0|2021-10-02 17:41:00
ordered 2 steak and egg breakfast ( i am on a keto diet) after staying at hotel with wife. plating and service was good. steak was unseasoned, at all. would not order again. view was great.|3.0|2021-12-07 07:38:00
the location is like something from a movie, inside and out. it feels like more than a hotel. the bay view from the window was so beautiful to look at every morning. even the car park was beautiful! the whole grounds are immaculate. the spa and pool were so clean, the staff are friendly and patient. i even loved having a bath and shower in the room instead of just a bath with shower head. beautiful rooms, nice facilities, so bright and open. lovely atmosphere and ambience all around but especially in the restaurant saturday night as there was a man singing. that was just like a cherry on top as he sang one of our songs. food was delish and made to perfection, breakfast and dinner, which was great as my partner is a picky eater and he loved everything. we had such a relaxing time, it was just what we needed. i hope to return some time at all the only thing i could possibly change about our time in kinsale was when it came to dinner. when we checked in on friday the man behind the desk asked us would we like dinner on the following nights and we said yes. we confirmed a time between us and it seemed like he wrote that down. however on both nights when we went upstairs to the restaurant, there was no record of our booking. luckily there were a few free tables and there was space for us. to have it happen saturday and then again on the sunday night was a little frustrating but nothing to dampen the weekend. the food was out of this world! i also noticed a few of the staff, perhaps newer to the job, were not terribly familiar with the menu particularly when it came to drinks. no mistakes were made but at times they did not understand what we wanted to order and other staff stepped in to help. like i said, no mistakes were made but i was cautious of perhaps receiving the wrong order. i would also love maybe more variety when it comes to desserts as my partner could not have any of the options available but this was not a big deal|4.5|2022-02-15 01:00:00
fantastic food and service. the outdoor area is very cosy with blankets and outdoor heaters. great for kids.|5.0|2021-10-19 10:15:00
decent dinner at rita's but not spectacular. the best thing was we were able to sit outside without freezing!|4.0|2022-01-24 17:00:00
our hostess was a sweetheart waitress was awesome. totally on the ball. great valentines day breakfast.|5.0|2022-02-14 19:15:00
fabulous hotel but very short staffed. waited one hour for a drink in the bar. very poor selection for vegetarians in the menu. waiter would not ask the chef if he could make another veggie dish. breakfast was poor enough too, only eggs for a vegetarian. afternoon tea is a little bit overpriced for what you get. my friend received a red wine that was gone off. service and menus could have been better. staff shortages|1.5|2022-02-06 01:00:00
this place was recommended by our hotel, could have been a better recommendation. service and food were fantastic!|5.0|2021-10-15 05:33:00
"ours was an experience that we are keen to repeat at the earliest opportunity. we chose to eat outside which was a delight, but shall go for inside next time to explore.
excellent choice on the menu, beautifully presented dishes and scrumptious. service was bright, attentive and efficient. we just want to go again, simple as that!"|4.0|2021-09-17 11:38:00
"the best home cooked meal i have had in years!
there's a reason they have award winning pies, they are delicious!
couldn't fault anything, the atmosphere is amazing with blazing log fires, great, friendly service, quirky little corners and amazing history hidden around each corner.
will definitely be making a return visit if we are in the area again."|5.0|2021-11-08 18:47:00
rooms were very comfortable and in a prime location|5.0|2022-02-19 01:00:00
unfortunately this place was one of the worst dining experiences i've had. the miramonte renovated and made a lot of really good design choices. in theory it has all the makings to succeed - beautiful olive trees with lanterns, live music, fire pits, modern decor - however at ever turn they got it wrong. i feel terrible giving a place a bad review because i always feel for the staff & i want businesses to succeed. there were only a few tables with patrons and everyone had the same gripes - ex i've been sitting here for 45 mins and haven't been able to get a drink or i've been here an hr with no food. all the patrons were commiserating about their unbelievably bad experiences whilst trying not to be jerks to the staff. two nice bus boys were apologizing profusely for the wait & all the issues. there was only one server i saw for the entire place & the hotel was sold put saturday for modernism week. you have to beg for every drink, fork & plate. not to mention the food isn't good. it's a strait up hot mess. this is a shame. it seems they are understaffed & the staff they do have isn't trained properly. hopefully this is a product of covid and the management of citrus & the miramonte can turn things around.|1.0|2022-02-20 08:24:00
considering the remoteness of the location it was an outstanding lunch and the patio and view were very nice.|5.0|2021-09-12 16:56:00
a pleasant place, staff friendly and helpful, food excellent.|5.0|2021-09-13 09:38:00
all was absolutely brilliant. all staff so welcoming and excellent service. were sat right by the river, all courses superb. you ticked all the boxes and more. well done!|5.0|2021-04-25 13:17:00
breakfast was good the bed wasn't as comfortable as we would have liked|4.0|2022-10-04 02:00:00
there was mold on the bread at breakfast and my wife found a cockraoch in the room wich i put into a glass and brought it to the reception only to to be told its not possible as there are no cockroaches in ireland despite having it the glass for them to see then a manager came and apologised for everything and said i'll get rid of the cockroach so he brang it away then after 10 minutes the head manager came and said it never happened despite the other guests standing looking at the entire thing i've never experienced such horrible conditions during a pandemic especially absolutely disgusting.|0.5|2022-01-16 01:00:00
limited selection for breakfast but satisfactory for short stay. liked the foyer area, clean relaxing and spacious. the gardens were a bonus and a credit to the hotel. rooms were bit small and cramped. bathroom very disappointing.|3.5|2022-06-28 02:00:00
we had a very enjoyable dining experience and would definitely go back again|5.0|2021-10-18 14:14:00
was there for a wedding. from arrival to departure everything was perfect. lovely room, lovely staff, lovely food and lovely guinness of course|4.5|2022-07-18 02:00:00
the food was excellent. my wife has never eaten that much food anywhere. service was first class.|5.0|2021-12-08 14:53:00
no breakfast included breakfast provision is a must and needs to be included in the total package and not as an extra as when you add this to the cost then the package is a little expensive stayed in december 2020|2.5|2021-01-01 06:00:00
all good great place. good management. i recommend everyone,but if you like drink, drugs, i don't recommend you this place. only 4 good people. the manager will not telorate your crap,and i don't blame him for it. in english, if you a lowlife, don't go there. stayed in january 2021|5.0|2021-01-26 00:00:00
great family room. spacious and clean. bathroom spotless. comfortable bed heating was not great. bit cool in the room. food choice in the restaurant was poor. probably because we had half board. menu in the room for room service was a lot more impressive lack of light in the room. few mood lights across the room thats all.|4.5|2021-12-09 01:00:00
great service, fast, and nice and hot when out food arrived.|5.0|2022-03-13 21:04:00
the room was comfortable and clean. the property is comfortable and clean but the price was pretty much daylight robbery, and the location is not overly pleasant. i only booked it because most hotels were booked out and it's relatively close to the airport.. the restaurant manager was rude and rolled his eyes when i wanted to change tables to look out the window. from then on i just felt hostility from him. overall i thought the hotel was overpriced and very underwhelming. there was a trainee at reception i think her name was priscilla. she was excellent and couldn't do enough to help. apart from priscilla, the rest of the stay left a bad taste.|2.0|2022-08-23 02:00:00
this small restaurant, tucked into a quiet, airy hotel in the middle of waikiki, brought me back as a repeat customer today. despite a relatively simple menu, the gourmet level of artistry that these chefs deliver satisfies my every need for japanese cuisine. the deluxe sushi and sashimi plates, although pricy, are worth every dollar. the restaurant itself is small but quiet and provides a relatively intimate setting good for a small group of friends, or a date. make sure to ask if there is a special on sakes that night!|5.0|2021-11-08 04:31:00
crews act like angry trachers. foods are terrible. juice taste sugar added water. will not use legoland hotel again for my life.|1.0|2021-12-31 09:50:00
everything was great! excellent views, scallop piccata was delicious, squash stack was good too! very attentive server, we had a great time! glad it was on opentable as we would not have known of otherwise.|5.0|2021-03-28 04:10:00
avocado toast with stale bread that we unsuccessfully struggled to cut , unbearably sweet coffee drink|1.0|2021-09-13 19:47:00
we had a wonderful time last night at the deauville inn. our waiter, raul (i hope i'm spelling that right!) was absolutely wonderful and accommodating to our rather large party and 1 year old. food was great and drinks came out fast. also the outside had heaters and covers to keep out the wind. we love coming here and it just keeps getting better each time!|4.0|2021-10-19 19:12:00
my boyfriend and i stayed here for 2 nights for my friend's wedding. the staff were very friendly and helpful. check in and out was very quick and efficient. the waiters were very attentive too. we ate here many times during our stay and all breakfasts, lunches and dinners were perfect. the rooms were really lovely. we stayed in one of the suites on the second night and couldn't believe how luxurious it was for the money. i've often paid almost double the price for rooms in other hotels that weren't as nice. a huge room and bathroom with a separate sitting area, all spotlessly clean with lovely decor. llamas, sheep and goats on the hotel grounds were a very unique addition! i really enjoyed my stay overall, and would absolutely recommend it to anyone looking for a quick relaxing break away. i would have loved more vegetarian options on the menu. also, not the hotel's fault of course, but the overall surrounding areas have very little to see and do, so i would probably only stay here for a short break in future.|5.0|2022-02-15 01:00:00
olives at the virgin hotel did not disappoint- it was the highlight of our stay! we began with the wood grilled squid & octopus and a bronx bomber flat bread- to die for! our sommelier, bernard was exceptional and selected tattinger upon arrival for us. we selected pasta sampling's -tortelli feat. butternut squash which was incredible and the ravioli - the parmesan cream and herb ricotta made want to lick the plate! the vibe is jazzy and sexy and the service impeccable. we finished with white chocolate martinis. we can't wait to go back.|5.0|2021-12-31 22:22:00
it is in a good location. airy and spacious food is excellent. pool and steam room are well managed|5.0|2021-10-17 02:00:00
not sure if this restaurant issues were truly related to covid as this was a constant reason why reservations were delayed in evening. this reservation was at 7pm but we didn't get seated until 7:45pm even though we had reserved. little did we know upon our first night eating here the dinner menu was the same each and every day. unless you have a car to leave hotel area there is nothing but this limited menu. there was issue with lighting as dragon restaurant had portable lighting brought into dining area and placed around but this didn't add much light but more of a dim romantic lighting with many families and their screaming tired children. as to ordering for the second night in a row and last, we had two birthday packages that were reserved two months in advanced for a chocolate cake and a vanilla cake (vanilla was needed due to food allergy). the chocolate cake was available but the vanilla was not, as the two prior nights the last vanilla was given out. there was an alternative cake provided, a vanilla cream, strawberry drizzle type something. it wasn't what was ordered but thank goodness the birthday child didn't complain and ate it. as we ordered dinner, there was a broccoli cheese soup offered and three of the party order this. later it was discovered they were out and offered a chili as a substitute. now, to remind some people that not all can eat meat due to tolerance of keeping any meat product down as these persons didn't order since they are vegetarian or vegan but seriously get sick when eating meat for protein. so we declined and knew it was not the staff working fault. what i didn't care for is the continuous nightmare excuse is due to covid. not acceptable, i work in a hospital and i want to use due to covid excuse. it's organizational workflows and informative customer service that keeps the public aware as they are informed what to expect. that's all it truly takes dragon restaurant management.|2.0|2021-10-06 22:28:00
we had a reservation for 7:45am and still had to wait in line. we left, due to my son's specialized needs.|1.0|2022-04-03 16:28:00
"a total disaster. never seen so many confused people trying to run a restaurant.
it took us, a party of 4 to acknowledge the disaster of an evening unfolding before our eyes.
we first tried laughing off the awkwardness. simple requests such as turning gas light took 25 minutes to no avail.
asking for drinks to reset the night were not heeded.
we closed our eyes trying to understand if the twilight zone moment was for real and, well, yes it was.
last attempt was to call the management who listened to our 30 minutes of unresponsiveness.
staring at the floor, he said yes no problem, we will take care of it.
2 minutes later, after our waiter pacing back and forth 13 times, flipping his order taking notepad, we got up only to find manager making drinks for another table.
we got up, left, and skyward silence kicked until we walked into stk @ the w and tried drinking to forget this most underwhelming, psychologically overwhelming moment.
something is wrong. please assess and reassess customer service.
until never again"|1.0|2021-07-17 18:20:00
the staff were extremely friendly and made you feel at home . nothing|5.0|2022-03-19 01:00:00
very welcoming staff!! clean, comfortable room with everything you need, good quality beds for great nights sleep. amazing breakfast on the top floor of the hotel with great views!! definitely will stay again here and recommend to anyone!! na|5.0|2021-08-15 02:00:00
value may have been good if buffet was open. sausage was not cooked fully, potatoes were terrible.|3.0|2022-01-13 06:08:00
the food and service was great. wonderful ambiance. it was an old inn that was remodeled into a beautiful setting. will return.|5.0|2021-08-01 10:06:00
food was awesome. would be great it they reduce steak sizes and to may be 8-10oz and provide sides as part of dish. its impossible for a person to eat 16oz steak and then order two big side portions and finish them especially if there is only person eating steak.|5.0|2021-03-30 16:04:00
glen rock mill inn keeps getting better every time we go. the food and service is second to none in my opinion.|5.0|2021-07-18 17:54:00
food amazing. service brilliant. will definitely be returning!|5.0|2022-01-23 04:41:00
good location and nice old building first morning breakfast service was a bit confusing sns slow. but second morning worked fine|4.5|2022-05-30 02:00:00
there was no shuttle from the airport clean and spacious rooms. friendly staff that made check in and out very easy. overall very accommodating, a great location, and a very cozy and relaxing room. stayed in september 2022|5.0|2022-09-26 01:00:00
bad, really bad. it is like stepping back in time to the 1980s and not in a good way. no bottled water - bizarre. afternoon tea was obviously not made on site, definitely shop bought (more discount store than m&s). we won't be back.|1.0|2021-12-23 07:35:00
"it said continental breakfast was included but there didn't appear to be anything on offer the room was very luxurious, huge bed with great mattress and down duvet. 50"" tv with netflix. walk in shower had lots of room, plenty of hot water and pressure stayed in december 2020"|5.0|2021-01-05 06:00:00
food & drinks are delicious. nice variety on the menu. service was great.|5.0|2021-08-16 16:39:00
we have had a fabulous anniversary meal at the globe . the meal was stunning . thank you|5.0|2021-12-15 10:32:00
hotel is gorgeous, fabulous decor , staff are amazing ,super friendly and helpful, food was delicious and presented beautifully , outdoors areas are very nice also , very easy to relax victoria|4.0|2022-08-01 02:00:00
great food and great service. lunch came out quickly and seated right away with reservations. portions are smaller than chain restaurants.|5.0|2022-01-02 02:29:00
"nice to have the inn back having been closed for a number of years.
we were a table of four and everyone's food selections were good.
we ate in the bar area which was busy, noisy but bearable.
three of the group had cocktails that were well done.
we'll be back."|4.0|2021-12-12 10:44:00
the hotel is absolutely beautiful and photos come out great!|4.0|2021-10-23 21:38:00
nice outlook, clean and large rooms with all essentials, lovely environment and cooperative staff cons: tv channels are internet dependent and there is alot of pause and interrupted signals won't let you watch tv with peace|4.5|2021-05-10 02:00:00
always great, consistent food with great service.|5.0|2022-03-01 17:35:00
great location. staff super friendly and approachable. excellent breakfast. cool views of the town centre. nice sized room. late bar on the weekends was a bonus. tv in the room quite small. no vending machines. shower drainage was very poor.|4.0|2021-11-10 01:00:00
pretty chill spot. good view. good food. decent price.|5.0|2021-07-05 00:55:00
staff were extremely friendly to our twins, accommodating and very efficient at their job.|4.5|2021-08-28 02:00:00
ate outside in large garden, good service. only complaint, shredded cabbage had some yellow and black leaves in the serving. this should have been picked up by the chef before serving, otherwise the food was excellent and priced reasonably well for a country pub. definitely go back to taste other dishes on the menu.|4.0|2021-06-18 09:39:00
fabulous house and location, spotlessly clean, and very spacious. stayed in january 2021|5.0|2021-01-12 06:00:00
hotel was perfect for our stay great location very clean,staff were friendly and helpful. breakfast was also delicious.|5.0|2021-07-20 02:00:00
"valentine's day dinner in one of the horseboxes. great idea and, after we'd removed one of the rather bright bulbs, the ambiance was perfect. heater and rugs provided, it made for a very lovely and intimate evening with my fiance, katie.
the food was delicious and the friendly, attentive and 'can do' attitude of our two waitresses really marked the evening out! thank you"|4.0|2022-02-15 10:48:00
The hostel was nice, but the shower temperature was too low for comfort, making it a challenging experience to take a shower.|4.0|2022-02-05 01:00:00
best carvery we have had, if your really hungry go for the extra. staff are very friendly and professional, happy to help and overall great value for money in our view.|5.0|2021-11-22 09:33:00
nice views. good food and average service. a little slow but it was sunday brunch. was looking for a more extensive menu but what they had was good|3.0|2021-06-14 22:38:00
location and room was brilliant, bus stop right outside and a lovely room. smart tv was advertised in the booking but not in the room.|3.5|2021-07-17 02:00:00
hotel has been renovated since last stay and looks great! rooms are very clean and comfortable.|4.5|2021-09-13 02:00:00
clean with good equipment, the bed is really comfortable. good location, really quiet! nice staff. it could be nice to have a bottle of water in the room.|8.0|2021-04-14 02:00:00
great service at check in, catered for an earlier check in which helped us for plans later in the day. comfy beds and the hotel catered for a request of a room with 3 beds in it. the rooms were very hot when we arrived, other then that everything else was great!|4.0|2022-04-20 02:00:00
the staff were fantastic. there was no on site parking and off-site parking wasn't covered|5.0|2022-01-01 01:00:00
The hostel was okay, but the low water pressure in the shower made it a bit of a challenge to clean up properly.|3.0|2022-03-27 16:50:00
i've been 'out to lunch' in gastropubs all over surrey for the last eight years and the food at the red lion in shamley green was amongst the best i've ever had. at least in the top three and my lunch partner and best friend said it was the best he'd had. add in a very friendly landlord and clientele, we'll definitely revisit, even though it takes me an hour to get there!|5.0|2021-12-10 06:37:00
no information provided for car parking or how to get out of car park - car parking was free but how the system was to operated wasn't explained. apartments were a bit noisy - we could hear people from other apartments chattinghaving a party on a weeknight. no hairdryer provided. apartment was very large, rooms were clean, tea and coffeemilk provided. location is excellent stayed in june 2021|2.5|2021-06-15 01:00:00
"denise b. our server was awesome.. made suggestions as needed everything came out timly and was great.. we were celebrating my mother in law 91st. birthday and denise made sure she felt very special
thank you denise"|5.0|2022-02-20 20:34:00
everything the hotel is central location.. the staff were unbelievable from front desk to staff delivering extra towels and to the bar staff especially david and max nothing i hope to go back|5.0|2022-12-30 01:00:00
